base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
88.84	84.81	85.8	0.12	[93.98, 93.43, 93.14, 92.42, 90.87, 89.82, 89.55, 89.39, 88.97, 88.84]	[nan, 88.73, 80.84, 71.54, 75.24, 79.17, 84.04, 84.1, 84.75, 84.81]	[93.98, 92.6, 89.19, 81.18, 81.72, 83.04, 85.89, 85.62, 85.87, 85.8]	[1.67, 0.46, 0.23, 0.07, 0.45, 0.36, 0.23, 0.12, 0.13, 0.12]	caltech101_cap_incft	caltech101	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_incft	[224, 224]
90.04	84.94	86.19	0.06	[93.47, 93.16, 93.02, 92.38, 91.67, 90.93, 90.75, 90.6, 90.15, 90.04]	[nan, 88.73, 81.66, 71.52, 75.2, 79.3, 84.06, 84.2, 84.85, 84.94]	[93.47, 92.25, 89.32, 81.07, 81.96, 83.5, 86.24, 86.01, 86.23, 86.19]	[0.64, 0.46, 0.28, 0.31, 0.37, 0.2, 0.12, 0.09, 0.07, 0.06]	caltech101_cap_incft	caltech101	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	3	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_incft	[224, 224]
89.82	82.34	84.19	1.57	[92.13, 91.94, 91.85, 91.47, 90.73, 90.31, 90.26, 90.19, 89.89, 89.82]	[nan, 81.56, 75.23, 68.62, 72.4, 76.83, 81.65, 81.68, 82.29, 82.34]	[92.14, 90.0, 86.49, 79.19, 80.06, 81.73, 84.39, 84.12, 84.33, 84.19]	[1.58, 1.6, 2.21, 1.68, 1.36, 1.18, 1.46, 1.42, 1.49, 1.57]	caltech101_cap_incft	caltech101	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_incft	[224, 224]
74.4	86.93	83.85	2.19	[92.76, 86.74, 82.31, 81.79, 76.34, 75.8, 75.51, 75.29, 74.55, 74.4]	[nan, 96.22, 90.22, 75.32, 78.47, 82.06, 86.3, 86.25, 86.75, 86.93]	[92.76, 88.85, 84.93, 78.28, 77.52, 79.84, 83.38, 83.14, 83.47, 83.85]	[0.79, 2.82, 4.64, 3.02, 3.82, 3.14, 2.46, 2.56, 2.47, 2.19]	caltech101_cap_incft	caltech101	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_incft	[224, 224]
85.18	85.52	85.43	1.0	[93.76, 91.8, 90.69, 89.68, 87.1, 86.32, 86.12, 86.01, 85.36, 85.18]	[nan, 90.9, 83.83, 72.62, 75.99, 79.97, 84.64, 84.79, 85.41, 85.52]	[93.76, 91.68, 88.49, 80.48, 80.55, 82.29, 85.31, 85.16, 85.37, 85.43]	[0.46, 1.01, 1.29, 0.88, 2.0, 1.78, 1.3, 1.15, 1.13, 1.0]	caltech101_cap_incft	caltech101	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	5	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_incft	[224, 224]
88.84	85.12	86.03	0.64	[93.32, 92.8, 92.58, 91.84, 90.58, 89.79, 89.66, 89.46, 88.9, 88.84]	[nan, 90.34, 82.75, 72.22, 75.87, 79.82, 84.35, 84.42, 85.03, 85.12]	[93.32, 92.62, 89.5, 81.35, 82.01, 83.45, 86.13, 85.88, 86.06, 86.03]	[1.21, 1.5, 1.82, 0.96, 0.51, 0.4, 0.61, 0.6, 0.63, 0.64]	caltech101_cap_incft	caltech101	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_incft	[224, 224]
87.97	84.14	85.07	1.5	[93.81, 93.0, 92.58, 91.8, 89.73, 88.9, 88.66, 88.46, 88.15, 87.97]	[nan, 86.56, 79.8, 71.05, 74.61, 78.75, 83.53, 83.49, 84.03, 84.14]	[93.81, 91.53, 88.34, 80.5, 80.82, 82.42, 85.24, 84.88, 85.09, 85.07]	[0.71, 2.62, 3.26, 2.11, 1.48, 1.34, 1.29, 1.4, 1.49, 1.5]	caltech101_cap_incft	caltech101	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	3	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_incft	[224, 224]
91.33	82.53	84.7	1.52	[93.49, 93.32, 93.23, 92.85, 92.47, 91.85, 91.69, 91.64, 91.35, 91.33]	[nan, 80.27, 73.64, 68.25, 72.2, 76.67, 81.64, 81.74, 82.4, 82.53]	[93.5, 90.92, 87.01, 79.6, 80.67, 82.18, 84.83, 84.57, 84.79, 84.7]	[1.47, 2.74, 3.09, 2.23, 1.93, 1.73, 1.62, 1.62, 1.61, 1.52]	caltech101_cap_incft	caltech101	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_incft	[224, 224]
85.94	86.08	86.05	0.36	[93.54, 92.09, 91.75, 90.64, 87.9, 87.01, 86.74, 86.56, 86.07, 85.94]	[nan, 92.92, 85.87, 74.21, 77.47, 81.13, 85.55, 85.4, 85.98, 86.08]	[93.54, 92.32, 89.9, 81.75, 81.77, 83.28, 86.13, 85.74, 85.98, 86.05]	[0.31, 0.38, 0.16, 0.38, 0.93, 0.83, 0.61, 0.49, 0.47, 0.36]	caltech101_cap_incft	caltech101	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_incft	[224, 224]
88.9	86.19	86.86	0.12	[93.52, 93.0, 92.8, 92.2, 90.78, 89.97, 89.55, 89.44, 89.08, 88.9]	[nan, 92.75, 85.92, 73.33, 76.97, 80.74, 85.31, 85.5, 86.11, 86.19]	[93.52, 93.12, 90.66, 82.07, 82.75, 84.1, 86.77, 86.64, 86.91, 86.86]	[1.08, 0.78, 0.3, 0.42, 0.34, 0.28, 0.17, 0.17, 0.1, 0.12]	caltech101_cap_incft	caltech101	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_cap_incft	[224, 224]
