base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
96.47	93.97	94.22	0.88	[99.53, 97.53, 97.3, 97.07, 96.93, 96.87, 96.87, 96.7, 96.67, 96.47]	[nan, 96.87, 96.3, 96.44, 95.75, 95.82, 95.28, 95.33, 94.11, 93.97]	[99.53, 97.2, 96.63, 96.6, 95.99, 95.99, 95.51, 95.5, 94.39, 94.22]	[0.05, 1.39, 0.94, 0.74, 1.03, 1.01, 0.87, 0.78, 0.9, 0.88]	mini_imagenet_cap_incft	mini_imagenet	data/miniimagenet	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	3	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_cap_incft	[224, 224]
98.57	94.98	95.34	0.01	[99.47, 99.37, 99.27, 99.03, 99.03, 98.9, 98.9, 98.57, 98.57, 98.57]	[nan, 97.27, 96.55, 96.77, 96.54, 96.66, 96.01, 96.0, 95.09, 94.98]	[99.47, 98.32, 97.46, 97.33, 97.03, 97.03, 96.42, 96.31, 95.48, 95.34]	[0.05, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.0, 0.01, 0.01]	mini_imagenet_cap_incft	mini_imagenet	data/miniimagenet	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	3	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_cap_incft	[224, 224]
98.4	94.65	95.02	0.46	[99.5, 99.23, 99.07, 98.87, 98.87, 98.77, 98.77, 98.47, 98.4, 98.4]	[nan, 97.0, 96.32, 96.6, 96.35, 96.39, 95.7, 95.77, 94.79, 94.65]	[99.5, 98.12, 97.23, 97.16, 96.85, 96.79, 96.14, 96.11, 95.19, 95.02]	[0.0, 0.33, 0.33, 0.26, 0.28, 0.36, 0.4, 0.33, 0.42, 0.46]	mini_imagenet_cap_incft	mini_imagenet	data/miniimagenet	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_cap_incft	[224, 224]
97.0	94.85	95.07	0.38	[99.5, 97.97, 97.77, 97.53, 97.5, 97.4, 97.37, 97.03, 97.03, 97.0]	[nan, 97.2, 96.52, 96.74, 96.4, 96.47, 95.85, 95.88, 94.96, 94.85]	[99.5, 97.58, 96.94, 96.93, 96.62, 96.62, 96.07, 96.02, 95.19, 95.07]	[0.0, 1.08, 0.75, 0.57, 0.61, 0.59, 0.5, 0.41, 0.41, 0.38]	mini_imagenet_cap_incft	mini_imagenet	data/miniimagenet	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_cap_incft	[224, 224]
93.93	94.68	94.6	1.01	[99.53, 95.4, 95.03, 94.7, 94.67, 94.6, 94.6, 94.1, 94.07, 93.93]	[nan, 97.07, 96.43, 96.58, 96.26, 96.34, 95.73, 95.77, 94.8, 94.68]	[99.53, 96.23, 95.97, 96.1, 95.94, 96.05, 95.57, 95.55, 94.72, 94.6]	[0.12, 2.99, 2.12, 1.76, 1.58, 1.41, 1.21, 1.08, 1.06, 1.01]	mini_imagenet_cap_incft	mini_imagenet	data/miniimagenet	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_cap_incft	[224, 224]
98.67	94.98	95.34	0.02	[99.47, 99.37, 99.3, 99.1, 99.1, 99.0, 99.0, 98.67, 98.67, 98.67]	[nan, 97.3, 96.55, 96.77, 96.55, 96.66, 96.0, 96.0, 95.09, 94.98]	[99.47, 98.33, 97.47, 97.35, 97.06, 97.05, 96.43, 96.33, 95.49, 95.34]	[0.05, 0.02, 0.03, 0.02, 0.02, 0.02, 0.01, 0.02, 0.02, 0.02]	mini_imagenet_cap_incft	mini_imagenet	data/miniimagenet	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_cap_incft	[224, 224]
90.23	93.89	93.52	1.34	[99.53, 92.23, 91.73, 91.3, 91.2, 91.13, 91.13, 90.67, 90.67, 90.23]	[nan, 96.9, 96.32, 96.42, 95.55, 95.61, 95.02, 95.1, 93.96, 93.89]	[99.53, 94.57, 94.79, 95.14, 94.68, 94.86, 94.46, 94.54, 93.6, 93.52]	[0.12, 2.68, 1.9, 1.55, 1.68, 1.55, 1.39, 1.26, 1.38, 1.34]	mini_imagenet_cap_incft	mini_imagenet	data/miniimagenet	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	5	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_cap_incft	[224, 224]
92.73	94.22	94.07	0.92	[99.6, 94.03, 93.73, 93.33, 93.23, 93.13, 93.07, 92.9, 92.87, 92.73]	[nan, 96.8, 96.35, 96.53, 95.82, 95.92, 95.3, 95.32, 94.31, 94.22]	[99.6, 95.42, 95.48, 95.73, 95.3, 95.45, 94.99, 95.02, 94.15, 94.07]	[0.08, 2.59, 1.72, 1.33, 1.35, 1.23, 1.08, 0.97, 0.99, 0.92]	mini_imagenet_cap_incft	mini_imagenet	data/miniimagenet	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	10	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_cap_incft	[224, 224]
98.63	94.97	95.33	0.02	[99.53, 99.47, 99.33, 99.17, 99.17, 99.07, 99.07, 98.67, 98.63, 98.63]	[nan, 97.3, 96.53, 96.76, 96.54, 96.66, 96.0, 96.0, 95.08, 94.97]	[99.53, 98.38, 97.47, 97.35, 97.07, 97.06, 96.44, 96.33, 95.47, 95.33]	[0.05, 0.02, 0.05, 0.02, 0.02, 0.01, 0.0, 0.02, 0.02, 0.02]	mini_imagenet_cap_incft	mini_imagenet	data/miniimagenet	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_cap_incft	[224, 224]
96.77	94.75	94.95	0.54	[99.47, 97.6, 97.47, 97.23, 97.2, 97.07, 97.07, 96.77, 96.77, 96.77]	[nan, 97.2, 96.57, 96.72, 96.36, 96.41, 95.79, 95.8, 94.84, 94.75]	[99.47, 97.4, 96.86, 96.85, 96.53, 96.51, 95.97, 95.92, 95.05, 94.95]	[0.09, 1.27, 0.8, 0.67, 0.73, 0.73, 0.62, 0.55, 0.59, 0.54]	mini_imagenet_cap_incft	mini_imagenet	data/miniimagenet	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_cap_incft	[224, 224]
97.53	94.8	95.07	0.36	[99.5, 98.53, 98.37, 98.07, 97.93, 97.87, 97.87, 97.57, 97.53, 97.53]	[nan, 97.23, 96.48, 96.7, 96.41, 96.45, 95.81, 95.84, 94.87, 94.8]	[99.5, 97.88, 97.11, 97.04, 96.71, 96.68, 96.1, 96.05, 95.17, 95.07]	[0.08, 0.62, 0.48, 0.42, 0.48, 0.5, 0.45, 0.38, 0.42, 0.36]	mini_imagenet_cap_incft	mini_imagenet	data/miniimagenet	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_cap_incft	[224, 224]
