base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
78.18	89.1	87.66	0.1	[95.31, 91.77, 91.57, 90.69, 90.69, 90.63, 90.49, 90.16, 78.18]	[nan, 98.45, 91.2, 94.03, 93.96, 93.58, 88.81, 89.37, 89.1]	[95.31, 94.65, 91.34, 93.04, 93.19, 93.0, 89.12, 89.51, 87.66]	[0.09, 0.07, 0.05, 0.05, 0.07, 0.06, 0.03, 0.01, 0.1]	oxford_pets_cap_incft	oxford_pets	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_incft	[224, 224]
76.91	89.14	87.54	0.19	[94.85, 91.3, 91.1, 90.23, 90.23, 90.23, 90.02, 89.76, 76.91]	[nan, 98.45, 91.16, 94.0, 93.96, 93.6, 88.81, 89.4, 89.14]	[94.85, 94.41, 91.16, 92.89, 93.09, 92.94, 89.04, 89.48, 87.54]	[0.25, 0.22, 0.19, 0.18, 0.19, 0.15, 0.17, 0.15, 0.19]	oxford_pets_cap_incft	oxford_pets	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_incft	[224, 224]
76.44	89.26	87.56	0.06	[94.98, 91.5, 91.3, 90.36, 90.36, 90.36, 90.16, 89.69, 76.44]	[nan, 98.45, 91.16, 94.06, 94.04, 93.6, 88.84, 89.44, 89.26]	[94.98, 94.51, 91.22, 92.96, 93.18, 92.96, 89.08, 89.5, 87.56]	[0.16, 0.05, 0.08, 0.07, 0.06, 0.03, 0.03, 0.02, 0.06]	oxford_pets_cap_incft	oxford_pets	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_incft	[224, 224]
79.65	89.0	87.79	0.26	[95.11, 91.7, 91.5, 90.83, 90.83, 90.76, 90.63, 90.36, 79.65]	[nan, 97.68, 90.81, 93.81, 93.81, 93.43, 88.67, 89.28, 89.0]	[95.11, 94.27, 91.11, 92.94, 93.12, 92.92, 89.03, 89.47, 87.79]	[0.19, 0.2, 0.13, 0.08, 0.06, 0.04, 0.04, 0.05, 0.26]	oxford_pets_cap_incft	oxford_pets	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_incft	[224, 224]
77.71	89.18	87.68	0.13	[94.85, 91.57, 91.37, 90.63, 90.63, 90.63, 90.49, 90.16, 77.71]	[nan, 98.28, 91.07, 93.97, 93.98, 93.56, 88.8, 89.4, 89.18]	[94.84, 94.46, 91.19, 92.98, 93.19, 92.99, 89.11, 89.53, 87.68]	[0.19, 0.12, 0.07, 0.05, 0.04, 0.02, 0.01, 0.02, 0.13]	oxford_pets_cap_incft	oxford_pets	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_incft	[224, 224]
78.98	88.99	87.69	0.16	[95.11, 91.84, 91.64, 90.83, 90.83, 90.83, 90.76, 90.5, 78.98]	[nan, 97.5, 90.73, 93.75, 93.77, 93.41, 88.66, 89.25, 88.99]	[95.11, 94.28, 91.1, 92.89, 93.09, 92.91, 89.04, 89.47, 87.69]	[0.41, 0.39, 0.26, 0.14, 0.09, 0.07, 0.09, 0.05, 0.16]	oxford_pets_cap_incft	oxford_pets	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_incft	[224, 224]
70.95	89.19	86.76	1.49	[94.85, 83.33, 82.87, 82.2, 82.2, 82.13, 81.86, 81.6, 70.95]	[nan, 98.19, 91.37, 94.2, 94.15, 93.66, 88.77, 89.36, 89.19]	[94.84, 89.79, 88.06, 90.64, 91.3, 91.36, 87.6, 88.21, 86.76]	[0.25, 6.32, 4.26, 3.15, 2.54, 2.18, 2.01, 1.79, 1.49]	oxford_pets_cap_incft	oxford_pets	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_incft	[224, 224]
76.3	89.23	87.53	0.05	[95.05, 91.37, 91.16, 90.23, 90.23, 90.23, 89.96, 89.56, 76.3]	[nan, 98.54, 91.24, 94.11, 94.02, 93.62, 88.88, 89.47, 89.23]	[95.04, 94.46, 91.21, 92.96, 93.13, 92.95, 89.08, 89.5, 87.53]	[0.19, 0.2, 0.14, 0.08, 0.09, 0.08, 0.06, 0.05, 0.05]	oxford_pets_cap_incft	oxford_pets	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_incft	[224, 224]
79.12	89.0	87.71	0.18	[94.71, 91.63, 91.43, 90.97, 90.97, 90.97, 90.83, 90.49, 79.12]	[nan, 97.67, 90.82, 93.83, 93.83, 93.46, 88.7, 89.29, 89.0]	[94.71, 94.23, 91.07, 92.99, 93.17, 92.98, 89.09, 89.5, 87.71]	[0.09, 0.19, 0.13, 0.09, 0.09, 0.08, 0.05, 0.06, 0.18]	oxford_pets_cap_incft	oxford_pets	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	3	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_incft	[224, 224]
77.98	89.17	87.71	0.18	[94.78, 91.64, 91.43, 90.83, 90.83, 90.83, 90.76, 90.36, 77.98]	[nan, 98.1, 91.03, 93.95, 93.94, 93.53, 88.77, 89.37, 89.17]	[94.78, 94.43, 91.21, 93.03, 93.22, 93.01, 89.13, 89.55, 87.71]	[0.16, 0.1, 0.06, 0.07, 0.06, 0.03, 0.04, 0.05, 0.18]	oxford_pets_cap_incft	oxford_pets	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	5	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.5	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_incft	[224, 224]
