base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
59.93	66.29	65.59	0.54	[89.8, 83.7, 78.08, 74.47, 72.28, 70.05, 68.82, 63.67, 59.93]	[nan, 85.15, 80.08, 76.14, 73.07, 70.65, 68.54, 66.98, 66.29]	[89.8, 84.42, 79.41, 75.72, 72.91, 70.55, 68.58, 66.56, 65.59]	[0.07, 0.72, 0.63, 0.57, 0.54, 0.58, 0.52, 0.61, 0.54]	sun397_cap_incft	sun397	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_incft	[224, 224]
59.05	66.32	65.51	0.55	[89.72, 83.48, 77.75, 74.28, 72.02, 69.72, 68.47, 63.0, 59.05]	[nan, 85.47, 80.64, 76.32, 73.27, 70.91, 68.7, 67.01, 66.32]	[89.72, 84.47, 79.68, 75.81, 73.02, 70.71, 68.67, 66.51, 65.51]	[0.02, 0.66, 0.37, 0.46, 0.4, 0.42, 0.44, 0.56, 0.55]	sun397_cap_incft	sun397	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_incft	[224, 224]
61.98	66.16	65.7	0.34	[89.75, 84.17, 78.52, 75.17, 73.3, 71.03, 70.0, 65.67, 61.98]	[nan, 84.85, 79.82, 75.84, 72.83, 70.44, 68.39, 66.83, 66.16]	[89.75, 84.51, 79.38, 75.67, 72.92, 70.54, 68.62, 66.68, 65.7]	[0.25, 0.62, 0.58, 0.51, 0.46, 0.47, 0.43, 0.39, 0.34]	sun397_cap_incft	sun397	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	10	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_incft	[224, 224]
60.7	66.29	65.66	0.34	[89.83, 83.95, 78.12, 74.58, 72.48, 70.0, 68.7, 64.33, 60.7]	[nan, 85.22, 80.36, 76.16, 73.16, 70.72, 68.64, 67.0, 66.29]	[89.83, 84.58, 79.61, 75.77, 73.03, 70.6, 68.64, 66.67, 65.66]	[0.12, 0.41, 0.17, 0.23, 0.22, 0.27, 0.28, 0.28, 0.34]	sun397_cap_incft	sun397	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	3	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_incft	[224, 224]
55.13	66.89	65.59	0.41	[89.6, 81.92, 74.98, 71.3, 68.8, 65.82, 64.65, 58.88, 55.13]	[nan, 86.18, 81.35, 77.12, 73.96, 71.55, 69.2, 67.55, 66.89]	[89.6, 84.05, 79.23, 75.66, 72.93, 70.59, 68.55, 66.47, 65.59]	[0.23, 0.78, 0.67, 0.46, 0.45, 0.48, 0.51, 0.47, 0.41]	sun397_cap_incft	sun397	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_incft	[224, 224]
60.12	66.56	65.85	0.12	[89.63, 83.53, 77.75, 74.3, 72.0, 69.77, 68.52, 63.4, 60.12]	[nan, 85.58, 80.75, 76.65, 73.52, 71.0, 68.86, 67.24, 66.56]	[89.63, 84.56, 79.74, 76.07, 73.21, 70.8, 68.81, 66.76, 65.85]	[0.13, 0.29, 0.24, 0.14, 0.12, 0.14, 0.13, 0.2, 0.12]	sun397_cap_incft	sun397	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_incft	[224, 224]
60.03	66.51	65.79	0.15	[89.72, 83.9, 78.07, 74.58, 72.32, 69.85, 68.63, 63.55, 60.03]	[nan, 85.07, 80.38, 76.38, 73.38, 70.93, 68.78, 67.17, 66.51]	[89.72, 84.48, 79.61, 75.93, 73.17, 70.75, 68.75, 66.72, 65.79]	[0.09, 0.61, 0.48, 0.24, 0.19, 0.24, 0.21, 0.24, 0.15]	sun397_cap_incft	sun397	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_incft	[224, 224]
64.2	66.09	65.88	0.04	[90.05, 85.2, 80.17, 77.18, 75.18, 73.32, 72.45, 68.02, 64.2]	[nan, 84.67, 79.59, 75.67, 72.77, 70.43, 68.36, 66.76, 66.09]	[90.05, 84.93, 79.78, 76.05, 73.25, 70.91, 68.95, 66.91, 65.88]	[0.2, 0.23, 0.18, 0.11, 0.06, 0.06, 0.04, 0.01, 0.04]	sun397_cap_incft	sun397	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	5	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_incft	[224, 224]
59.82	66.37	65.65	0.37	[89.37, 83.48, 77.68, 74.18, 71.88, 69.82, 68.37, 63.37, 59.82]	[nan, 85.15, 80.48, 76.22, 73.21, 70.78, 68.67, 67.07, 66.37]	[89.37, 84.31, 79.55, 75.71, 72.95, 70.62, 68.62, 66.6, 65.65]	[0.17, 0.47, 0.25, 0.48, 0.42, 0.45, 0.4, 0.44, 0.37]	sun397_cap_incft	sun397	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	3	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_incft	[224, 224]
56.15	66.88	65.68	0.22	[89.97, 82.32, 75.62, 72.08, 69.6, 66.88, 65.47, 59.73, 56.15]	[nan, 85.85, 81.14, 76.98, 73.82, 71.33, 69.21, 67.58, 66.88]	[89.97, 84.08, 79.3, 75.75, 72.98, 70.58, 68.68, 66.6, 65.68]	[0.22, 0.81, 0.54, 0.45, 0.39, 0.43, 0.31, 0.36, 0.22]	sun397_cap_incft	sun397	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_incft	[224, 224]
